species,importance,rank,method,cv_auc_mean,cv_auc_sd
Rothia mucilaginosa,0.0016288506239391042,145,Random Forest,0.7415403585426574,0.05890198952181386
Butyricicoccus sp AM29 23AC,0.0016115207397055485,146,Random Forest,0.7415403585426574,0.05890198952181386
Gemella sanguinis,0.0016067843719988796,147,Random Forest,0.7415403585426574,0.05890198952181386
Bifidobacterium pseudocatenulatum,0.0016037279028075675,148,Random Forest,0.7415403585426574,0.05890198952181386
Blautia SGB4815,0.0016016641367534636,149,Random Forest,0.7415403585426574,0.05890198952181386
GGB4557 SGB6288,0.0016004272932635994,150,Random Forest,0.7415403585426574,0.05890198952181386
Anaerotruncus colihominis,0.0015930273360287087,151,Random Forest,0.7415403585426574,0.05890198952181386
GGB3637 SGB4930,0.0015846384364432199,152,Random Forest,0.7415403585426574,0.05890198952181386
Intestinimonas butyriciproducens,0.0015826795540528043,153,Random Forest,0.7415403585426574,0.05890198952181386
GGB9632 SGB15089,0.0015808256743071695,154,Random Forest,0.7415403585426574,0.05890198952181386
Akkermansia muciniphila,0.00157911347333035,155,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides intestinalis,0.0015722342816721284,156,Random Forest,0.7415403585426574,0.05890198952181386
Lachnoclostridium sp An131,0.0015708747634482225,157,Random Forest,0.7415403585426574,0.05890198952181386
Flavonifractor sp An10,0.0015591942928416445,158,Random Forest,0.7415403585426574,0.05890198952181386
Parabacteroides goldsteinii,0.0015510507643825566,159,Random Forest,0.7415403585426574,0.05890198952181386
Klebsiella pneumoniae,0.0015487541442499313,160,Random Forest,0.7415403585426574,0.05890198952181386
Megamonas funiformis,0.0015471422662027695,161,Random Forest,0.7415403585426574,0.05890198952181386
Erysipelatoclostridium ramosum,0.001544743476670643,162,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides nordii,0.001541094818847133,163,Random Forest,0.7415403585426574,0.05890198952181386
Faecalibacterium SGB15346,0.0015405641830519416,164,Random Forest,0.7415403585426574,0.05890198952181386
Alistipes senegalensis,0.001538806949512396,165,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides cellulosilyticus,0.001531491784387494,166,Random Forest,0.7415403585426574,0.05890198952181386
Coprococcus catus,0.0015099984193625473,167,Random Forest,0.7415403585426574,0.05890198952181386
Candidatus Avimicrobium caecorum,0.0015085296800189767,168,Random Forest,0.7415403585426574,0.05890198952181386
Lacrimispora celerecrescens,0.0015084465750631365,169,Random Forest,0.7415403585426574,0.05890198952181386
Anaerotruncus rubiinfantis,0.0015081427235884022,170,Random Forest,0.7415403585426574,0.05890198952181386
GGB1455 SGB2018,0.0015021769677650075,171,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcus bicirculans,0.001487117880903143,172,Random Forest,0.7415403585426574,0.05890198952181386
Candidatus Allochristensenella caecavium,0.0014842870741940972,173,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus sp 263 SSPC,0.0014797440201238684,174,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium sp AM33 3,0.0014774851726757471,175,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium fessum,0.0014769489804649677,176,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcus callidus,0.00147694027872538,177,Random Forest,0.7415403585426574,0.05890198952181386
GGB2980 SGB3962,0.0014753961129081057,178,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium SGB4751,0.0014656493245804895,179,Random Forest,0.7415403585426574,0.05890198952181386
Mediterraneibacter massiliensis,0.0014641382099327843,180,Random Forest,0.7415403585426574,0.05890198952181386
Saccharomyces cerevisiae,0.0014562281636836276,181,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus sanguinis,0.0014518118534122874,182,Random Forest,0.7415403585426574,0.05890198952181386
Abiotrophia sp HMSC24B09,0.001448562760127499,183,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides finegoldii,0.0014478904999739536,184,Random Forest,0.7415403585426574,0.05890198952181386
Firmicutes bacterium,0.001438179363477349,185,Random Forest,0.7415403585426574,0.05890198952181386
Mailhella massiliensis,0.0014344162468540116,186,Random Forest,0.7415403585426574,0.05890198952181386
Enterocloster clostridioformis,0.0014290396242172259,187,Random Forest,0.7415403585426574,0.05890198952181386
Parasutterella excrementihominis,0.0014254153663416456,188,Random Forest,0.7415403585426574,0.05890198952181386
Veillonella atypica,0.0014252724825569482,189,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides clarus,0.001424344800535473,190,Random Forest,0.7415403585426574,0.05890198952181386
Blautia stercoris,0.0014234408560347782,191,Random Forest,0.7415403585426574,0.05890198952181386
Olsenella sp GAM18,0.001422907838222789,192,Random Forest,0.7415403585426574,0.05890198952181386
GGB9186 SGB14125,0.0014218435530994544,193,Random Forest,0.7415403585426574,0.05890198952181386
Lachnospira pectinoschiza,0.001411623256464147,194,Random Forest,0.7415403585426574,0.05890198952181386
Pediococcus pentosaceus,0.0014098962566935866,195,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium innocuum,0.0014029278412176385,196,Random Forest,0.7415403585426574,0.05890198952181386
Lacrimispora saccharolytica,0.0014021756971734284,197,Random Forest,0.7415403585426574,0.05890198952181386
GGB9633 SGB15091,0.001395270047287697,198,Random Forest,0.7415403585426574,0.05890198952181386
Lactobacillus iners,0.0013934779869603552,199,Random Forest,0.7415403585426574,0.05890198952181386
Candidatus Schneewindia gallinarum,0.0013926640510800302,200,Random Forest,0.7415403585426574,0.05890198952181386
GGB1456 SGB2019,0.0013878648062208717,201,Random Forest,0.7415403585426574,0.05890198952181386
GGB9634 SGB15099,0.0013878443672388932,202,Random Forest,0.7415403585426574,0.05890198952181386
GGB9523 SGB14922,0.001384013520262592,203,Random Forest,0.7415403585426574,0.05890198952181386
Coprococcus eutactus,0.0013803788148656895,204,Random Forest,0.7415403585426574,0.05890198952181386
Phocea massiliensis,0.0013795241587508202,205,Random Forest,0.7415403585426574,0.05890198952181386
Butyricimonas virosa,0.001376905324379072,206,Random Forest,0.7415403585426574,0.05890198952181386
GGB3571 SGB4778,0.0013671421239138822,207,Random Forest,0.7415403585426574,0.05890198952181386
Clostridiaceae bacterium OM08 6BH,0.0013663433468342036,208,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcaceae unclassified SGB4425,0.001363863516916734,209,Random Forest,0.7415403585426574,0.05890198952181386
Harryflintia acetispora,0.0013615784843352113,210,Random Forest,0.7415403585426574,0.05890198952181386
Coprococcus comes,0.0013531782170600622,211,Random Forest,0.7415403585426574,0.05890198952181386
Megasphaera elsdenii,0.001343056578166898,212,Random Forest,0.7415403585426574,0.05890198952181386
Actinomyces sp S6 Spd3,0.0013327817190045054,213,Random Forest,0.7415403585426574,0.05890198952181386
Alistipes finegoldii,0.0013315842856312509,214,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus gordonii,0.001327279941067962,215,Random Forest,0.7415403585426574,0.05890198952181386
GGB55957 SGB77276,0.001325689205638775,216,Random Forest,0.7415403585426574,0.05890198952181386
GGB9602 SGB15031,0.0013212382768979518,217,Random Forest,0.7415403585426574,0.05890198952181386
Schaalia turicensis,0.0013209404198884405,218,Random Forest,0.7415403585426574,0.05890198952181386
Clostridiales unclassified SGB15148,0.001320787615243672,219,Random Forest,0.7415403585426574,0.05890198952181386
Eubacteriaceae bacterium,0.0013184524280863753,220,Random Forest,0.7415403585426574,0.05890198952181386
Massilimicrobiota timonensis,0.0013136977930574812,221,Random Forest,0.7415403585426574,0.05890198952181386
Blautia schinkii,0.0013129081190403902,222,Random Forest,0.7415403585426574,0.05890198952181386
Oscillibacter sp ER4,0.0013098010564404675,223,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium sp AF20 17LB,0.0013045775097287927,224,Random Forest,0.7415403585426574,0.05890198952181386
GGB3278 SGB4328,0.0013018945588741363,225,Random Forest,0.7415403585426574,0.05890198952181386
Phocaeicola coprocola,0.0013003190421901935,226,Random Forest,0.7415403585426574,0.05890198952181386
Veillonella dispar,0.001299235002220024,227,Random Forest,0.7415403585426574,0.05890198952181386
Barnesiella intestinihominis,0.0012959310402728362,228,Random Forest,0.7415403585426574,0.05890198952181386
Dorea sp AF24 7LB,0.0012941576986316497,229,Random Forest,0.7415403585426574,0.05890198952181386
GGB1250 SGB1672,0.00129011609102323,230,Random Forest,0.7415403585426574,0.05890198952181386
Weissella confusa,0.0012868367173412382,231,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium neonatale,0.0012849587380832157,232,Random Forest,0.7415403585426574,0.05890198952181386
Clostridiales unclassified SGB15145,0.0012843823454098818,233,Random Forest,0.7415403585426574,0.05890198952181386
Ruminococcaceae unclassified SGB15260,0.0012839230832400856,234,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides eggerthii,0.0012812936590500595,235,Random Forest,0.7415403585426574,0.05890198952181386
GGB9614 SGB15049,0.0012716537977387396,236,Random Forest,0.7415403585426574,0.05890198952181386
Gordonibacter pamelaeae,0.001269052367087993,237,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium sp AT4,0.0012618593981780515,238,Random Forest,0.7415403585426574,0.05890198952181386
Oxalobacter formigenes,0.001260369245068555,239,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides salyersiae,0.0012590552690336953,240,Random Forest,0.7415403585426574,0.05890198952181386
Lachnoclostridium sp An118,0.0012563089628957577,241,Random Forest,0.7415403585426574,0.05890198952181386
Mogibacterium diversum,0.001253994304724035,242,Random Forest,0.7415403585426574,0.05890198952181386
Coprobacter secundus,0.0012524941936727474,243,Random Forest,0.7415403585426574,0.05890198952181386
GGB6554 SGB9256,0.0012457185773874038,244,Random Forest,0.7415403585426574,0.05890198952181386
Oscillospiraceae bacterium NSJ 64,0.0012448250080006424,245,Random Forest,0.7415403585426574,0.05890198952181386
Sellimonas intestinalis,0.0012423290392281823,246,Random Forest,0.7415403585426574,0.05890198952181386
Clostridium sp NSJ 42,0.001229727792598457,247,Random Forest,0.7415403585426574,0.05890198952181386
Lactococcus petauri,0.0012296312381391205,248,Random Forest,0.7415403585426574,0.05890198952181386
Roseburia intestinalis,0.0012263213598819461,249,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides sp Marseille P3684,0.0012125004221097083,250,Random Forest,0.7415403585426574,0.05890198952181386
Sutterella SGB9281,0.001211330967806496,251,Random Forest,0.7415403585426574,0.05890198952181386
Intestinibacter bartlettii,0.0011942663170552185,252,Random Forest,0.7415403585426574,0.05890198952181386
Adlercreutzia equolifaciens,0.0011920718550525694,253,Random Forest,0.7415403585426574,0.05890198952181386
Actinomyces graevenitzii,0.0011912486537929584,254,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus infantis,0.0011884868038406309,255,Random Forest,0.7415403585426574,0.05890198952181386
Clostridiales bacterium Marseille P5551,0.0011880987175875348,256,Random Forest,0.7415403585426574,0.05890198952181386
GGB34228 SGB72916,0.001186132168661394,257,Random Forest,0.7415403585426574,0.05890198952181386
Prevotella denticola,0.0011840299490473026,258,Random Forest,0.7415403585426574,0.05890198952181386
Prevotella stercorea,0.001182760467296028,259,Random Forest,0.7415403585426574,0.05890198952181386
Lachnospira SGB5077,0.0011805389445780716,260,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus thermophilus,0.0011794709575442335,261,Random Forest,0.7415403585426574,0.05890198952181386
Catabacter hongkongensis,0.001177904961020241,262,Random Forest,0.7415403585426574,0.05890198952181386
Turicibacter sanguinis,0.0011777941283699594,263,Random Forest,0.7415403585426574,0.05890198952181386
Mediterraneibacter butyricigenes,0.0011767718376321885,264,Random Forest,0.7415403585426574,0.05890198952181386
Paraprevotella clara,0.001175412033947115,265,Random Forest,0.7415403585426574,0.05890198952181386
Candidatus Timburyella stercoris,0.0011753901984828433,266,Random Forest,0.7415403585426574,0.05890198952181386
Lentisphaeria bacterium,0.0011718478834201955,267,Random Forest,0.7415403585426574,0.05890198952181386
Streptococcus constellatus,0.0011687345272953149,268,Random Forest,0.7415403585426574,0.05890198952181386
Eisenbergiella tayi,0.0011657589123812433,269,Random Forest,0.7415403585426574,0.05890198952181386
Veillonella rogosae,0.0011609148750281475,270,Random Forest,0.7415403585426574,0.05890198952181386
Culturomica massiliensis,0.0011569096422105346,271,Random Forest,0.7415403585426574,0.05890198952181386
GGB9758 SGB15368,0.0011562071006635591,272,Random Forest,0.7415403585426574,0.05890198952181386
GGB9593 SGB15015,0.0011542099715120713,273,Random Forest,0.7415403585426574,0.05890198952181386
Fusobacteriaceae bacterium,0.0011532659994402028,274,Random Forest,0.7415403585426574,0.05890198952181386
Trueperella pyogenes,0.0011516966338559345,275,Random Forest,0.7415403585426574,0.05890198952181386
GGB9618 SGB15065,0.0011498067492275031,276,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides faecis,0.0011495882076556206,277,Random Forest,0.7415403585426574,0.05890198952181386
Lachnoclostridium sp An138,0.0011481872581084976,278,Random Forest,0.7415403585426574,0.05890198952181386
Bacteroides faecalis,0.001147351888558696,279,Random Forest,0.7415403585426574,0.05890198952181386
GGB9730 SGB15291,0.0011408586518090469,280,Random Forest,0.7415403585426574,0.05890198952181386
Actinomyces bouchesdurhonensis,0.0011396162137964653,281,Random Forest,0.7415403585426574,0.05890198952181386
Allisonella histaminiformans,0.0011363547388725317,282,Random Forest,0.7415403585426574,0.05890198952181386
GGB9619 SGB15067,0.0011358268736278078,283,Random Forest,0.7415403585426574,0.05890198952181386
Faecalibacterium SGB15345,0.0011356722604345007,284,Random Forest,0.7415403585426574,0.05890198952181386
GGB9557 SGB14966,0.0011340185096282208,285,Random Forest,0.7415403585426574,0.05890198952181386
Negativibacillus massiliensis,0.001133480507397756,286,Random Forest,0.7415403585426574,0.05890198952181386
Anaerococcus obesiensis,0.0011310414981022857,287,Random Forest,0.7415403585426574,0.05890198952181386
GGB9627 SGB15081,0.0011304923515264526,288,Random Forest,0.7415403585426574,0.05890198952181386
GGB9623 SGB15076,0.0011255061122828383,289,Random Forest,0.7415403585426574,0.05890198952181386
